treatment,conversion,visit,uplift_score,response_score
1,0,0,-0.020915704638833514,0.03336988409517557
1,0,0,-0.01937848228444925,0.058109407163789935
1,0,1,0.09579065385806662,0.6765142942348282
0,0,0,-0.20879373566476384,0.14999281767667788
0,0,0,-0.04861136424953798,0.1254245998966538
1,0,0,-0.12380357075050297,0.30493192650987583
0,0,0,0.10755678154733256,0.4892054724776051
1,0,0,0.016322219765878762,0.12090565429832496
1,0,0,-0.029814905334507036,0.04253710953777153
1,0,0,-0.19188195261889496,0.2887600296779401
1,0,0,-0.13516776985455775,0.12173349543988676
1,0,0,-0.019835425600134238,0.1327230771829517
1,0,0,-0.282446774707792,0.23555631746318612
1,0,0,-0.023625239599690928,0.037776157816208765
1,0,0,0.2128016314522223,0.2602069221656063
1,0,0,-0.008633420288754856,0.07100129406347053
1,0,0,-0.12172330185697591,0.10275173894023641
1,0,0,-0.06903310828502682,0.1116140283517432
1,0,0,-0.0244600270261024,0.020154187399627214
1,0,0,-0.01296227119317174,0.02012234378357853
1,0,0,-0.0002510212686835378,0.16523279475087405
1,0,0,-0.02782919309545577,0.03961821626491976
1,0,0,-0.09228887814905525,0.08265174178534998
1,0,0,-0.008125116758523218,0.03669052843504853
0,0,1,-0.01427455915259257,0.8488592318939102
1,0,0,-0.014467052886637695,0.04534960182196548
1,0,0,-0.03573318606432123,0.0513704419566635
1,0,0,-0.009720256954274531,0.1836617084981939
1,0,0,-0.26419535153356577,0.18259983746344646
1,0,0,-0.12203026733535868,0.10315683138877264
1,0,1,-0.09243718478520313,0.6531631372026683
1,0,0,-0.02121433049536476,0.04738077809058121
1,0,0,-0.13582360386192932,0.10507123699420909
1,0,0,-0.17607878987464354,0.643628935846295
1,0,0,-0.018902322296474927,0.05663244278626536
1,0,0,-0.042831974274423035,0.25022476287377327
1,0,0,-0.11739694012156641,0.08073074746621413
1,0,0,-0.028679268628623147,0.04086517302813642
1,0,0,-0.021801700366515003,0.022460182199634606
1,0,0,-0.39388197595140984,0.3232082993208607
1,0,0,-0.16553596796038006,0.17604735787664655
0,0,0,-0.1065012258462294,0.48349518802116637
1,0,0,-0.112185568865128,0.09072673724130971
0,0,0,-0.24087940738796507,0.24320391760858107
1,0,0,-0.05021704766410698,0.07045411814487842
0,0,0,-0.1491793409066641,0.12238668660166653
1,0,0,-0.08198465679281834,0.10343893923098238
1,0,1,0.1488924484223011,0.7905068115749296
1,0,0,-0.014961866963960416,0.044573217234208054
0,0,0,-0.02040978837707544,0.04553709539865731
1,0,0,-0.06758208692321438,0.3613078307516022
1,0,0,-0.0561235297905574,0.4163449933166159
0,0,0,-0.11525159096134062,0.09447868517780007
1,0,0,-0.1225380665530359,0.5657151082717283
0,0,0,-0.011514874781685419,0.07028934230682031
1,0,1,-0.0508370099720612,0.8581146706617242
1,0,0,-0.18696854624992013,0.161909699923792
1,0,0,-0.07775146137154473,0.06477311062726966
1,0,1,-0.10582471636044855,0.6329665570560714
1,0,0,-0.15633384369624487,0.11706830253721526
1,0,0,-0.047706128397656755,0.8648066639641567
0,0,0,-0.07148967115206761,0.78833145650521
0,0,0,0.1159480822642884,0.3318414720667907
1,0,0,-0.0211767982392797,0.03379268163723955
1,0,0,-0.1394811458917249,0.6870055174550145
1,0,0,-0.03958524412756058,0.05723708029922448
1,0,0,-0.02056106391868842,0.04272639860416481
1,0,0,-0.010665270058854294,0.035052805847752215
1,0,0,0.0008456261887055741,0.059468154107737675
1,0,0,-0.0007977094575511365,0.03783899657089034
1,0,0,-0.09063652168401504,0.8432076824067442
1,0,0,-0.19107488395624944,0.10347631058684162
1,0,0,-0.11364672299676792,0.09250201130755448
1,0,0,-0.04348196951460256,0.06327476706877279
0,0,0,-0.026389934128098827,0.0423172506160048
1,0,0,-0.0294963207504238,0.05738809132534142
1,0,0,-0.030790897981546883,0.04397971935287384
1,0,0,-0.07645792125010303,0.15162585686861874
1,0,0,-0.26528923202475496,0.2086603478327761
1,0,0,-0.14897565601795154,0.12210515033569021
1,0,0,-0.07226491356967607,0.15940104723414852
1,0,0,0.9561304763672825,0.9489243460201175
1,0,0,-0.03510191449530675,0.14535112826419852
